date_info,name,title,content,rating
Reviewed in India on 21 February 2020,Wade Wilson.,Not the Best Bass! EDIT: THE ABSOLUTE BEST BASS!!!,"This is my first time using a boat earphone, I was using a wired earphone with the company or brand I don't know, I've got it as a gift from my relatives abroad, but the bass compared to that earphone, this doesn't have much bass, I don't know everyone keeps boasting this earphone is specifically made for bass, I had to go to the Equalizer and tweak the bass, even though it doesn't come closer to my other earphone, the highs are high lows are low, and if I tweak more I can feel the stress on the little speakers, I had a concert like experience with my other earphone but this one is average, and should be priced around 800 -900, this is overpriced and overrated.. Aside from the bass it's all good so far, bluetooth connectivity is good, range is good, call quality is good, lag latency is low, battery backup is good.. And the audio codec is SBC, AAC is supported but every time I set it to AAC it resets back to SBC, based on my research you'll need aptx hd to change the codecs. Which this earphone doesn't have.. **UPDATE**. I CAN PLAY AAC NOW, IT'S MY BAD, AFTER UPDATING MY PHONES FIRMWARES I'M ABLE TO PLAY AAC CODEC ON MY ROCKERZ 255 PRO. AND DO NOTE THAT THE SOUND QUALITY IS AWESOME, SUCH IMPROVEMENT... GO FOR IT! I TAKE BACK ALL I SAID BEFORE.. P.S ** YOUR PHONE MUST SUPPORT AAC CODEC BLUETOOTH V.5 WOULD BE BETTER, OTHERWISE THE SOUND QUALITY IS AWFUL I GOT IT WORKING ON MY PHONE AFTER AN UPDATE**",5.0 out of 5 stars
Reviewed in India on 23 September 2020,Adv. Shaurya Mahajan,Improved Quality,"The quality of Boat Rockerz has improved over the time.. i used the headphones, and now i am using these wireless earphones, and believe me, the quality is improved way too much.. And to add, i got them for a price of rs. 1499, and at this rice it is a steal.",5.0 out of 5 stars
Reviewed in India on 9 October 2018,Rahul Rampure,Disappointed,Totally disappointed with the product and returned it. Boat rockerz 225 is better than this.,1.0 out of 5 stars
Reviewed in India on 16 May 2020,Yamini,I have been using this product for more then 6 months.,"I have been using this product for more then 6 months.. At the time of perchesing this earphone, i was really confuse between Realme or Boat Rockers pro.. but after boot rockers pro, I am very happy with my decision.. Very Good product by boat.. I thought that 6hrs battery backup will be less for me but after usning i have seen that it gives more 8 hrs and it only takes 20 min max to get full charge.. 6 hr is for if you have been playing non-stop music for 6hrs.. I put on charging only for 20-25 min in morning and use it full day without turnning off for a single minute.. To be true the performance was amazing... Here is some key information about the product:. 1.It can connect with 2 device at same time.I connect with my phone and laptop which is very benifitial for me, I attain meeting and online classes on laptop and in between any phone call comes on my mobile it automatical switches towords call and after the call back to my lappy.. when i play video on both phone or laptop it automatical switch towords whereever video is playing.. 2.support fast charging(only in the ""PRO"" modle).. 3.Audio quality is best.. 4. light weight.",5.0 out of 5 stars
Reviewed in India on 22 May 2020,Amit Gupta,Good product and service from boat,Purchased on 20/02/20 and It's stopped working. Neither it's turning on neither it's getting charged. Registered an online complain on 21/05/20 but till date there is no reponse.. Complain tkt no. Is 1111830. Someone from boat team kindly connect and respond to help me out on this.. Finally they replaced the faulty product and it's working great now.,5.0 out of 5 stars
Reviewed in India on 12 December 2018,Ashish Sangem,Returning the item,Got the delivery today(12/12/2018). Initial Impressions:The Audio was really good..nice bass..comfortable fit.Audio 4/5. But after few hours of usage the right earphone stopped working..Audio output through right earphone is not as loud as left earphone.,1.0 out of 5 stars
Reviewed in India on 29 June 2019,Sham,Poor Battery and Connectivity,"I am pleased to write a review and i will talk both about pros and cons:. Pros:. 1. Good Bass. 2. Sturdy. 3. Great look. 4. Good noise cancellation. Cons:. 1. Forget buying this if you are planning to use it for gaming like battle royale games, There is an issue with the latency or bluetooth lag, You will hear the noise 3 seconds after you fire the gun.. 2. Disspointed battery backup, max is 1 or 1.5. hours if you continously use it at low volume.. 3. Wrong place where the charging port is installed, difficult to plugin or plug out.. UPDATE: AS OF TODAY, JAN 15TH 2020 - One of the sides stopped working within 6 months. However, I claimed the warranty and got a replacement in 15 days. No hassle apart from the duration to get a replacement.",3.0 out of 5 stars
Reviewed in India on 17 December 2018,JAY,The Beast in this Price Segment,Just purchase it with your eyes closed man. In 1500 bucks no-one will ever give you such a Bass and good audio quality WIRELESS BLUETOOTH Earphone. Just don't think so much.. I don't know about the lasting of the product but feeling the build it seems very premium. This is my first day usage review.. ===≠====≠===. Writing after 5 months of using. One of earbud stopped working without any reason today.. Pathetic product I must say now,1.0 out of 5 stars
Reviewed in India on 16 April 2019,Murali krishnan,"Not at all suitable for running, long run when you sweet it easily enters inside","For the first month it was good. But from the starting i was having blue tooth connectivity issue. It was not even having good connection within 5metres. Then within 30 days due to sweating it completely stopped working. I am still searching for the right wireless ear phone which can be used for long run, marathon and resist sweating.. Very poor customer care service. I returned the product and have to wait for 3 week for dispatching a new one. Still on 4th week no shipment done.",1.0 out of 5 stars
Reviewed in India on 28 September 2020,santoshcanc2005,Not worth,Very disappointed with this pair of headphones. The sound and make quality is very low.,2.0 out of 5 stars
Reviewed in India on 13 February 2020,ASHISH SHETE,Worst Experience ever,There's no clarity in sound it produces only bass that to it is not pure deep bass. It's sounds very local the mids n highs are the worst. One may go for it by looking at the price but trust me Bass in not the only thing to be considered the sound quality is also very important. Even the bass is not all pure it just sucks when u hear it for more than 1 hrs. I have returned the product. Please don't buy this product there's no Sound Quality.,1.0 out of 5 stars
Reviewed in India on 6 February 2020,Amazon Customer,Good but Noise cancellation is bad,4 stars just for audio quality with good bass but noice cancellation doesn't work.. Pros. audio quality is really good. nice battery backup. range is fine. Cons. noice cancellation is bad while talking. Its good for music lovers who need a good audio quality headphones but not for those who need for calling purpose because the other person you're talking with will even hear the background noise coming from long distances like vehicles passing and their horn.. Rest everything is good.,4.0 out of 5 stars
Reviewed in India on 14 May 2019,Anoop Ganesh,Not at all Worth the cost!!,"I have been using the headset for 2 months. The battery life is pathetic. It might huff and puff to 4-5 hrs before the annoying ""your battery is low"" notification starts piercing your ears. The noise cancellation is avergae and the Mic is the biggest let down. When I use this for calls when I am in my room, my sound gets diffused in the sound my ceiling fan makes and the other party will be having lots of difficulty hearing us. And the ear pains a lot after half an hour of usage due to the ear-holder kind of thing provided on the buds. I won't recommend this to anyone. I read and watched a lot of reviews before buying this. Most reviews were rating it pretty high. So I have learned one thing, do not go solely on these reviews when buying things from these kinds of manufacturers, those might be paid ones..!. Happy Shopping!!",2.0 out of 5 stars
Reviewed in India on 30 August 2019,Amazon Customer,Warranty,Need to claim warranty one side speaker is not working,4.0 out of 5 stars
Reviewed in India on 5 March 2021,Vimal G.,"REPLACED WITH DUPLICATE, NOT AUTHENTIC BOAT, QR CODE IS NOT SCANNABLE","Received broken package from side ( replaced and got the same package in same condition ), and item inside is a duplicate product. QR code is not scannable.. Just compare the shape of received headset and the one on image, it is a clear cheating. DONT TRY YOUR LUCK, THESE PEOPLE SELL THE DUPLICATE PRODUCT.",1.0 out of 5 stars
Reviewed in India on 28 February 2021,Pritika khatri,Barcode is not being scanned why ?,Why this bar code is not been scanned? Is that duplicate product ?,1.0 out of 5 stars
Reviewed in India on 30 August 2018,Sid,Bad sound quality,Worst product,1.0 out of 5 stars
Reviewed in India on 27 March 2019,Amazon Customer,Not great sound performance but overall ok,"Hi, i bought this for 1500 from amazon but to tell you did not found out this worth 1500. Bought this after seeing 4 star rating from amazon users but seriously not worth 4 stars.. 1. Bass may be there but the sound is not powerfull and sharp. I tried to switch between plug in ear phone and boat wireless and found that the sound is not great although bass may be there.. 2. As some user has mentioned the mic is not good which i also feel. 3. If you arr looking for style then it doesn't look stylish. The earphone wires should come from behind not front as it looks odd.. 4. Noise cancellation is good.. 5. Ear comfort is ok.. If i have to buy again i would rather by wireless earphone at 600 bucks from metro station amd may feel disappointed rather than spending 1500 buck and feeling disappointed.. This product should be in the range of 600 to 800 max. Still if you need something desperately wireless and at some affordable cost then its ok.. Have heard from some colleagues that you may find some good wireless earphone from Ali express",3.0 out of 5 stars
Reviewed in India on 22 October 2018,Ankit raj,Amazing product. Just go for it.,Close your eyes and just go for it. It is amazing at its price. I have got it at a festival sale which costs me 999 rupees. There is everything perfect in these bluetooth earphones. The bass is amazing even more than sony and jbl bt earphones. The sound is crystal clear. Mic quality is decent and battery life is about 6-7 hours of playback. Noise cancellation is pretty enough. I am very impressed from these earphones. And at last these earphones are stereo supported so you can enjoy 360 songs and also play pubg with these bluetooth earphones. Really i love boat.,5.0 out of 5 stars
